id,room_id,noted_date,temp,out_in
__export__.temp_log_196050_3c252aff,Room Admin,08/12/2018 09:08,29,In
__export__.temp_log_196048_e4e30610,Room Admin,08/12/2018 09:07,41,Out
__export__.temp_log_196047_da4d3971,Room Admin,08/12/2018 09:07,41,Out
__export__.temp_log_196039_a167c302,Room Admin,08/12/2018 09:05,29,In
__export__.temp_log_196038_b58a003f,Room Admin,08/12/2018 09:04,42,Out
__export__.temp_log_196037_fdf98314,Room Admin,08/12/2018 09:04,30,In
__export__.temp_log_196035_689daecd,Room Admin,08/12/2018 09:04,29,In
__export__.temp_log_196034_d592acf9,Room Admin,08/12/2018 09:03,42,Out
__export__.temp_log_196033_cec7562b,Room Admin,08/12/2018 09:03,30,In
__export__.temp_log_196026_8ad54b4f,Room Admin,08/12/2018 09:01,30,In
__export__.temp_log_196022_1b205f24,Room Admin,08/12/2018 09:00,29,In
__export__.temp_log_196021_0ed345a9,Room Admin,08/12/2018 09:00,29,In
__export__.temp_log_196020_dbaffc92,Room Admin,08/12/2018 08:58,29,In
__export__.temp_log_196018_adf4ef79,Room Admin,08/12/2018 08:58,29,In
__export__.temp_log_196016_20a6e7e2,Room Admin,08/12/2018 08:57,41,Out
__export__.temp_log_196014_8d2b9031,Room Admin,08/12/2018 08:55,30,In
__export__.temp_log_196015_db31e3bc,Room Admin,08/12/2018 08:55,30,In
__export__.temp_log_196010_238d7f2d,Room Admin,08/12/2018 08:53,42,Out
__export__.temp_log_196011_5a5158ba,Room Admin,08/12/2018 08:53,42,Out
__export__.temp_log_196003_7a23e92c,Room Admin,08/12/2018 08:52,29,In
__export__.temp_log_196000_3f2ed7ca,Room Admin,08/12/2018 08:52,29,In
__export__.temp_log_195999_728bba0f,Room Admin,08/12/2018 08:51,31,In
__export__.temp_log_195994_6650de18,Room Admin,08/12/2018 08:50,29,In
__export__.temp_log_195993_ca94691a,Room Admin,08/12/2018 08:50,29,In
__export__.temp_log_195983_fec1f952,Room Admin,08/12/2018 08:48,29,In
__export__.temp_log_195976_f524a948,Room Admin,08/12/2018 08:46,29,In
__export__.temp_log_195977_e1805396,Room Admin,08/12/2018 08:46,29,In
__export__.temp_log_195972_db46be7e,Room Admin,08/12/2018 08:42,29,In
__export__.temp_log_195969_8f5806db,Room Admin,08/12/2018 08:42,29,In
__export__.temp_log_195968_c5929341,Room Admin,08/12/2018 08:41,41,Out
__export__.temp_log_195966_7067918d,Room Admin,08/12/2018 08:41,30,In
__export__.temp_log_195967_fd90463b,Room Admin,08/12/2018 08:41,30,In
__export__.temp_log_195965_d674087f,Room Admin,08/12/2018 08:40,29,In
__export__.temp_log_195964_78b18ce8,Room Admin,08/12/2018 08:40,29,In
__export__.temp_log_195960_83b2ac63,Room Admin,08/12/2018 08:38,29,In
__export__.temp_log_195958_d1f1c452,Room Admin,08/12/2018 08:38,29,In
__export__.temp_log_195952_80703f87,Room Admin,08/12/2018 08:36,29,In
__export__.temp_log_195953_8d40d5d6,Room Admin,08/12/2018 08:36,29,In
__export__.temp_log_195946_950a05dd,Room Admin,08/12/2018 08:34,29,In
__export__.temp_log_195947_788677b5,Room Admin,08/12/2018 08:34,29,In
__export__.temp_log_195943_2f2b26fa,Room Admin,08/12/2018 08:33,41,Out
__export__.temp_log_195942_5e1c858f,Room Admin,08/12/2018 08:33,41,Out
__export__.temp_log_195937_fb578c35,Room Admin,08/12/2018 08:32,29,In
__export__.temp_log_195935_ab01285d,Room Admin,08/12/2018 08:32,29,In
__export__.temp_log_195933_53aa6200,Room Admin,08/12/2018 08:31,41,Out
__export__.temp_log_195932_988cb49a,Room Admin,08/12/2018 08:31,41,Out
__export__.temp_log_195929_7e57e39e,Room Admin,08/12/2018 08:30,29,In
__export__.temp_log_195928_bf913f02,Room Admin,08/12/2018 08:30,29,In
__export__.temp_log_195923_6788ab66,Room Admin,08/12/2018 08:28,29,In
__export__.temp_log_195921_54b29c20,Room Admin,08/12/2018 08:28,29,In
__export__.temp_log_195919_2c731f8f,Room Admin,08/12/2018 08:27,41,Out
__export__.temp_log_195918_0b04645d,Room Admin,08/12/2018 08:27,41,Out
__export__.temp_log_195915_0f898d60,Room Admin,08/12/2018 08:26,29,In
__export__.temp_log_195914_c287670c,Room Admin,08/12/2018 08:26,29,In
__export__.temp_log_195913_12036871,Room Admin,08/12/2018 08:25,41,Out
__export__.temp_log_195912_d1225202,Room Admin,08/12/2018 08:25,41,Out
__export__.temp_log_195909_4bb4aa6e,Room Admin,08/12/2018 08:24,29,In
__export__.temp_log_195910_45867a15,Room Admin,08/12/2018 08:24,29,In
__export__.temp_log_195906_25300ce4,Room Admin,08/12/2018 08:23,41,Out
__export__.temp_log_195907_a93e5292,Room Admin,08/12/2018 08:23,41,Out
__export__.temp_log_195905_c6c4e9b4,Room Admin,08/12/2018 08:22,29,In
__export__.temp_log_195904_2e517ede,Room Admin,08/12/2018 08:22,29,In
__export__.temp_log_195900_d8ef0bf6,Room Admin,08/12/2018 08:21,40,Out
__export__.temp_log_195901_224e9da3,Room Admin,08/12/2018 08:21,40,Out
__export__.temp_log_195897_5db0f878,Room Admin,08/12/2018 08:20,29,In
__export__.temp_log_195898_e3dd9f74,Room Admin,08/12/2018 08:20,29,In
__export__.temp_log_195895_f547a4eb,Room Admin,08/12/2018 08:18,29,In
__export__.temp_log_195894_3bedeaeb,Room Admin,08/12/2018 08:18,29,In
__export__.temp_log_195891_1322e658,Room Admin,08/12/2018 08:17,30,In
__export__.temp_log_195890_324848c7,Room Admin,08/12/2018 08:17,30,In
__export__.temp_log_195887_7278790d,Room Admin,08/12/2018 08:16,29,In
__export__.temp_log_195885_53d95e8e,Room Admin,08/12/2018 08:16,29,In
__export__.temp_log_195883_0d611f99,Room Admin,08/12/2018 08:15,40,Out
__export__.temp_log_195882_a8219097,Room Admin,08/12/2018 08:15,40,Out
__export__.temp_log_195881_8bf9697a,Room Admin,08/12/2018 08:15,30,In
__export__.temp_log_195880_5ba2a991,Room Admin,08/12/2018 08:15,30,In
__export__.temp_log_195877_bcc1e881,Room Admin,08/12/2018 08:12,29,In
__export__.temp_log_195875_3859808a,Room Admin,08/12/2018 08:12,29,In
__export__.temp_log_195873_2049543d,Room Admin,08/12/2018 08:11,40,Out
__export__.temp_log_195872_6f0767e8,Room Admin,08/12/2018 08:11,40,Out
__export__.temp_log_195867_b370c0e5,Room Admin,08/12/2018 08:10,29,In
__export__.temp_log_195869_b3533a1a,Room Admin,08/12/2018 08:10,29,In
__export__.temp_log_195863_8fec02dc,Room Admin,08/12/2018 08:08,29,In
__export__.temp_log_195862_437cc596,Room Admin,08/12/2018 08:08,29,In
__export__.temp_log_195859_401ac233,Room Admin,08/12/2018 08:07,40,Out
__export__.temp_log_195858_e99304af,Room Admin,08/12/2018 08:07,40,Out
__export__.temp_log_195855_0cae6cd7,Room Admin,08/12/2018 08:06,29,In
__export__.temp_log_195854_31c44924,Room Admin,08/12/2018 08:06,29,In
__export__.temp_log_195850_ac3cefe9,Room Admin,08/12/2018 08:05,40,Out
__export__.temp_log_195851_e5ff2539,Room Admin,08/12/2018 08:05,40,Out
__export__.temp_log_195843_94e9ddeb,Room Admin,08/12/2018 08:04,29,In
__export__.temp_log_195841_4309bd29,Room Admin,08/12/2018 08:04,41,Out
__export__.temp_log_195839_47cb936e,Room Admin,08/12/2018 08:04,29,In
__export__.temp_log_195835_c9e1c966,Room Admin,08/12/2018 08:03,41,Out
__export__.temp_log_195832_c1f30f3b,Room Admin,08/12/2018 08:03,29,In
__export__.temp_log_195827_415cb68d,Room Admin,08/12/2018 08:02,29,In
__export__.temp_log_195825_8b52d359,Room Admin,08/12/2018 08:01,29,In
__export__.temp_log_195819_aeb37aba,Room Admin,08/12/2018 07:58,29,In
__export__.temp_log_195814_cb52225d,Room Admin,08/12/2018 07:56,29,In
__export__.temp_log_195808_350db3da,Room Admin,08/12/2018 07:56,40,Out
__export__.temp_log_195809_1a7adc53,Room Admin,08/12/2018 07:56,29,In
__export__.temp_log_195804_2def877a,Room Admin,08/12/2018 07:55,40,Out
__export__.temp_log_195802_113aa722,Room Admin,08/12/2018 07:54,29,In
__export__.temp_log_195799_9326dd39,Room Admin,08/12/2018 07:52,29,In
__export__.temp_log_195796_19025bcd,Room Admin,08/12/2018 07:52,29,In
__export__.temp_log_195797_2c2a633b,Room Admin,08/12/2018 07:52,41,Out
__export__.temp_log_195793_f138a506,Room Admin,08/12/2018 07:51,41,Out
__export__.temp_log_195791_42832358,Room Admin,08/12/2018 07:51,29,In
__export__.temp_log_195789_e73d0273,Room Admin,08/12/2018 07:50,29,In
__export__.temp_log_195786_0e1a8c21,Room Admin,08/12/2018 07:48,40,Out
__export__.temp_log_195784_be4e2149,Room Admin,08/12/2018 07:47,40,Out
__export__.temp_log_195781_d191f832,Room Admin,08/12/2018 07:46,29,In
__export__.temp_log_195778_33c5ac50,Room Admin,08/12/2018 07:44,29,In
__export__.temp_log_195775_4b268ee4,Room Admin,08/12/2018 07:44,29,In
__export__.temp_log_195771_5e45289d,Room Admin,08/12/2018 07:41,29,In
__export__.temp_log_195757_f68963a1,Room Admin,08/12/2018 07:34,29,In
__export__.temp_log_195755_49c6143b,Room Admin,08/12/2018 07:33,29,In
__export__.temp_log_195754_a4798307,Room Admin,08/12/2018 07:31,29,In
__export__.temp_log_195753_d577e2a7,Room Admin,08/12/2018 07:30,29,In
__export__.temp_log_195747_0e2463c8,Room Admin,08/12/2018 07:28,29,In
__export__.temp_log_195748_ef018a38,Room Admin,08/12/2018 07:27,29,In
__export__.temp_log_195746_2bf6f84c,Room Admin,08/12/2018 07:27,39,Out
__export__.temp_log_195743_3490989d,Room Admin,08/12/2018 07:25,29,In
__export__.temp_log_195741_1ee117ce,Room Admin,08/12/2018 07:22,29,In
__export__.temp_log_195737_9b7cf031,Room Admin,08/12/2018 07:18,29,In
__export__.temp_log_195735_db7981b8,Room Admin,08/12/2018 07:17,29,In
__export__.temp_log_195734_4f2562c2,Room Admin,08/12/2018 07:17,39,Out
__export__.temp_log_195730_7a1e694e,Room Admin,08/12/2018 07:15,38,Out
__export__.temp_log_195721_7eaf3460,Room Admin,08/12/2018 07:08,39,Out
__export__.temp_log_195720_6d45515d,Room Admin,08/12/2018 07:06,29,In
__export__.temp_log_195719_49a74545,Room Admin,08/12/2018 07:06,40,Out
__export__.temp_log_195718_71c2dad3,Room Admin,08/12/2018 07:03,29,In
__export__.temp_log_195712_33302c75,Room Admin,08/12/2018 06:57,29,In
__export__.temp_log_195710_02625a80,Room Admin,08/12/2018 06:57,39,Out
__export__.temp_log_195705_d12a0132,Room Admin,08/12/2018 06:56,39,Out
__export__.temp_log_195699_ae35986e,Room Admin,08/12/2018 06:53,29,In
__export__.temp_log_195700_9f91987a,Room Admin,08/12/2018 06:53,29,In
__export__.temp_log_195696_ab5dac1e,Room Admin,08/12/2018 06:52,29,In
__export__.temp_log_195695_ad7c7502,Room Admin,08/12/2018 06:52,39,Out
__export__.temp_log_195689_2122bb37,Room Admin,08/12/2018 06:51,29,In
__export__.temp_log_195691_e741f787,Room Admin,08/12/2018 06:51,39,Out
__export__.temp_log_195681_bd6505a1,Room Admin,08/12/2018 06:50,29,In
__export__.temp_log_195676_e12ff8ac,Room Admin,08/12/2018 06:47,39,Out
__export__.temp_log_195675_881ee565,Room Admin,08/12/2018 06:47,29,In
__export__.temp_log_195671_e74cdb3b,Room Admin,08/12/2018 06:44,39,Out
__export__.temp_log_195666_5cdf88fa,Room Admin,08/12/2018 06:43,39,Out
__export__.temp_log_195664_5c6077e7,Room Admin,08/12/2018 06:42,29,In
__export__.temp_log_195662_0427381e,Room Admin,08/12/2018 06:41,29,In
__export__.temp_log_195658_8fc4ba31,Room Admin,08/12/2018 06:39,29,In
__export__.temp_log_195657_ce71fe88,Room Admin,08/12/2018 06:39,29,In
__export__.temp_log_195653_c4fb531f,Room Admin,08/12/2018 06:37,29,In
__export__.temp_log_195654_646ef3ee,Room Admin,08/12/2018 06:37,29,In
__export__.temp_log_195641_5f06db35,Room Admin,08/12/2018 06:35,29,In
__export__.temp_log_195638_3041af8f,Room Admin,08/12/2018 06:33,29,In
__export__.temp_log_195631_0521288e,Room Admin,08/12/2018 06:32,39,Out
__export__.temp_log_195629_fe2b9da4,Room Admin,08/12/2018 06:31,39,Out
__export__.temp_log_195624_895f8bec,Room Admin,08/12/2018 06:30,29,In
__export__.temp_log_195622_231c2bdf,Room Admin,08/12/2018 06:29,29,In
__export__.temp_log_195614_1148cf83,Room Admin,08/12/2018 06:25,29,In
__export__.temp_log_195605_b53f739a,Room Admin,08/12/2018 06:23,29,In
__export__.temp_log_195601_dd0c7ab3,Room Admin,08/12/2018 06:22,29,In
__export__.temp_log_195598_ad3240b5,Room Admin,08/12/2018 06:21,29,In
__export__.temp_log_195593_e192d0f3,Room Admin,08/12/2018 06:21,29,In
__export__.temp_log_195589_ce331dcf,Room Admin,08/12/2018 06:19,29,In
__export__.temp_log_195583_b22df853,Room Admin,08/12/2018 06:17,29,In
__export__.temp_log_195581_f56cee93,Room Admin,08/12/2018 06:16,29,In
__export__.temp_log_195578_2d6785ee,Room Admin,08/12/2018 06:15,29,In
__export__.temp_log_195574_7d6d296e,Room Admin,08/12/2018 06:14,39,Out
__export__.temp_log_195573_717824ba,Room Admin,08/12/2018 06:14,29,In
__export__.temp_log_195567_c41391e4,Room Admin,08/12/2018 06:11,29,In
__export__.temp_log_195564_a98743a4,Room Admin,08/12/2018 06:11,29,In
__export__.temp_log_195560_e7b66ccd,Room Admin,08/12/2018 06:09,39,Out
__export__.temp_log_195561_012fc08b,Room Admin,08/12/2018 06:09,29,In
__export__.temp_log_195555_0feeb1cb,Room Admin,08/12/2018 06:07,29,In
__export__.temp_log_195549_7720b115,Room Admin,08/12/2018 06:06,29,In
__export__.temp_log_195546_8553cd41,Room Admin,08/12/2018 06:05,29,In
__export__.temp_log_195538_dd2918d1,Room Admin,08/12/2018 06:02,38,Out
__export__.temp_log_195532_3f1b5fb1,Room Admin,08/12/2018 06:01,39,Out
__export__.temp_log_195531_641454b1,Room Admin,08/12/2018 06:01,29,In
__export__.temp_log_195525_4c6f82e7,Room Admin,08/12/2018 05:59,39,Out
__export__.temp_log_195524_6d22cf81,Room Admin,08/12/2018 05:59,29,In
__export__.temp_log_195523_ff5a3f2d,Room Admin,08/12/2018 05:59,39,Out
__export__.temp_log_195520_35e595e6,Room Admin,08/12/2018 05:59,29,In
__export__.temp_log_195515_446a24b8,Room Admin,08/12/2018 05:57,38,Out
__export__.temp_log_195507_c69cd4c0,Room Admin,08/12/2018 05:55,39,Out
__export__.temp_log_195508_c28f66e6,Room Admin,08/12/2018 05:55,29,In
__export__.temp_log_195469_b1fcae4e,Room Admin,08/12/2018 05:43,30,In
__export__.temp_log_195467_bdc3b8d2,Room Admin,08/12/2018 05:43,30,In
__export__.temp_log_195462_d0f5705e,Room Admin,08/12/2018 05:41,29,In
__export__.temp_log_195459_cabba896,Room Admin,08/12/2018 05:40,29,In
__export__.temp_log_195458_77a9ad02,Room Admin,08/12/2018 05:39,38,Out
__export__.temp_log_195447_07d602b5,Room Admin,08/12/2018 05:37,30,In
__export__.temp_log_195444_84ddce5e,Room Admin,08/12/2018 05:35,29,In
__export__.temp_log_195440_f7e2c6ed,Room Admin,08/12/2018 05:35,30,In
__export__.temp_log_195435_2563753c,Room Admin,08/12/2018 05:33,30,In
__export__.temp_log_195434_3dd6ba8b,Room Admin,08/12/2018 05:31,29,In
__export__.temp_log_195427_8580654c,Room Admin,08/12/2018 05:29,29,In
__export__.temp_log_195428_13e2d9bd,Room Admin,08/12/2018 05:29,29,In
__export__.temp_log_195418_477bec87,Room Admin,08/12/2018 05:25,38,Out
__export__.temp_log_195417_716b1860,Room Admin,08/12/2018 05:25,38,Out
__export__.temp_log_195416_77e1755c,Room Admin,08/12/2018 05:25,29,In
__export__.temp_log_195415_66478123,Room Admin,08/12/2018 05:25,29,In
__export__.temp_log_195412_c0870399,Room Admin,08/12/2018 05:23,38,Out
__export__.temp_log_195411_5c6c829b,Room Admin,08/12/2018 05:23,38,Out
__export__.temp_log_195410_c6095322,Room Admin,08/12/2018 05:23,29,In
__export__.temp_log_195409_1b2294e4,Room Admin,08/12/2018 05:23,29,In
__export__.temp_log_195402_255a505f,Room Admin,08/12/2018 05:21,38,Out
__export__.temp_log_195401_72c4932f,Room Admin,08/12/2018 05:21,38,Out
__export__.temp_log_195400_4f81abe4,Room Admin,08/12/2018 05:21,29,In
__export__.temp_log_195399_57296b5c,Room Admin,08/12/2018 05:21,29,In
__export__.temp_log_195394_a8647158,Room Admin,08/12/2018 05:20,29,In
__export__.temp_log_195392_366330b0,Room Admin,08/12/2018 05:19,29,In
__export__.temp_log_195391_895b9428,Room Admin,08/12/2018 05:19,29,In
__export__.temp_log_195387_62a2fc50,Room Admin,08/12/2018 05:17,29,In
__export__.temp_log_195385_bc2cd923,Room Admin,08/12/2018 05:16,29,In
__export__.temp_log_195382_82800a71,Room Admin,08/12/2018 05:15,29,In
__export__.temp_log_195377_975bba5a,Room Admin,08/12/2018 05:13,38,Out
__export__.temp_log_195375_102599b8,Room Admin,08/12/2018 05:13,29,In
__export__.temp_log_195376_fe5fe606,Room Admin,08/12/2018 05:13,38,Out
__export__.temp_log_195369_d66fedef,Room Admin,08/12/2018 05:12,38,Out
__export__.temp_log_195368_5827d784,Room Admin,08/12/2018 05:12,29,In
__export__.temp_log_195367_81005fac,Room Admin,08/12/2018 05:11,38,Out
__export__.temp_log_195362_487245c1,Room Admin,08/12/2018 05:09,38,Out
__export__.temp_log_195361_5e231b52,Room Admin,08/12/2018 05:09,29,In
__export__.temp_log_195357_6d3ea324,Room Admin,08/12/2018 05:08,38,Out
__export__.temp_log_195356_cc50e6c4,Room Admin,08/12/2018 05:08,29,In
__export__.temp_log_195354_4fc4d09d,Room Admin,08/12/2018 05:07,38,Out
__export__.temp_log_195352_5eafa76a,Room Admin,08/12/2018 05:07,29,In
__export__.temp_log_195342_3485727d,Room Admin,08/12/2018 05:05,29,In
__export__.temp_log_195338_40c6f6c7,Room Admin,08/12/2018 05:03,29,In
__export__.temp_log_195332_24f657f4,Room Admin,08/12/2018 05:01,37,Out
__export__.temp_log_195331_5e65720d,Room Admin,08/12/2018 05:01,29,In
__export__.temp_log_195326_cbc29b3b,Room Admin,08/12/2018 04:59,38,Out
__export__.temp_log_195315_38ef5b29,Room Admin,08/12/2018 04:55,29,In
__export__.temp_log_195314_4f6d4d40,Room Admin,08/12/2018 04:55,29,In
__export__.temp_log_195307_0d28e9ba,Room Admin,08/12/2018 04:54,37,Out
__export__.temp_log_195306_f4b13bed,Room Admin,08/12/2018 04:53,37,Out
__export__.temp_log_195305_08839f90,Room Admin,08/12/2018 04:53,29,In
__export__.temp_log_195303_e59befe1,Room Admin,08/12/2018 04:53,29,In
__export__.temp_log_195287_6cc0f8ba,Room Admin,08/12/2018 04:49,29,In
__export__.temp_log_195286_6d1b0ac4,Room Admin,08/12/2018 04:49,29,In
__export__.temp_log_195279_786b27a2,Room Admin,08/12/2018 04:47,29,In
__export__.temp_log_195278_f559d8fa,Room Admin,08/12/2018 04:47,29,In
__export__.temp_log_195263_2895b558,Room Admin,08/12/2018 04:43,29,In
__export__.temp_log_195262_fa4c706c,Room Admin,08/12/2018 04:43,29,In
__export__.temp_log_195253_839bbc1e,Room Admin,08/12/2018 04:39,29,In
__export__.temp_log_195252_7854256f,Room Admin,08/12/2018 04:39,29,In
__export__.temp_log_195247_c6a62b1f,Room Admin,08/12/2018 04:39,30,In
__export__.temp_log_195246_404b296d,Room Admin,08/12/2018 04:39,30,In
__export__.temp_log_195239_276850e2,Room Admin,08/12/2018 04:36,37,Out
__export__.temp_log_195238_4aaec119,Room Admin,08/12/2018 04:35,37,Out
__export__.temp_log_195237_541c156e,Room Admin,08/12/2018 04:35,29,In
__export__.temp_log_195236_4b7ee5f0,Room Admin,08/12/2018 04:35,29,In
__export__.temp_log_195232_cd555655,Room Admin,08/12/2018 04:34,37,Out
__export__.temp_log_195233_17d291b5,Room Admin,08/12/2018 04:33,37,Out
__export__.temp_log_195231_b7d8ce75,Room Admin,08/12/2018 04:33,29,In
__export__.temp_log_195230_d4a4c157,Room Admin,08/12/2018 04:33,29,In
__export__.temp_log_195219_2cfdb292,Room Admin,08/12/2018 04:30,37,Out
__export__.temp_log_195218_5f5337cd,Room Admin,08/12/2018 04:29,37,Out
__export__.temp_log_195193_b290b1e4,Room Admin,08/12/2018 04:23,37,Out
__export__.temp_log_195192_bc83082e,Room Admin,08/12/2018 04:23,37,Out
__export__.temp_log_195191_3c3c8d59,Room Admin,08/12/2018 04:23,29,In
__export__.temp_log_195190_0cf4c084,Room Admin,08/12/2018 04:23,29,In
__export__.temp_log_195185_40cec82c,Room Admin,08/12/2018 04:21,29,In
__export__.temp_log_195184_338435ef,Room Admin,08/12/2018 04:21,29,In
__export__.temp_log_195177_d33112e6,Room Admin,08/12/2018 04:20,36,Out
__export__.temp_log_195176_b9e9dbb5,Room Admin,08/12/2018 04:19,36,Out
__export__.temp_log_195175_07586658,Room Admin,08/12/2018 04:19,29,In
__export__.temp_log_195174_72be5b21,Room Admin,08/12/2018 04:19,29,In
__export__.temp_log_195167_e8fa1d81,Room Admin,08/12/2018 04:18,36,Out
__export__.temp_log_195166_abde5476,Room Admin,08/12/2018 04:17,36,Out
__export__.temp_log_195165_99840a1c,Room Admin,08/12/2018 04:17,29,In
__export__.temp_log_195164_4ff2549b,Room Admin,08/12/2018 04:17,29,In
__export__.temp_log_195158_b42b3e8b,Room Admin,08/12/2018 04:16,37,Out
__export__.temp_log_195159_f47207dc,Room Admin,08/12/2018 04:15,37,Out
__export__.temp_log_195153_1fbbf291,Room Admin,08/12/2018 04:14,37,Out
__export__.temp_log_195152_0912cefe,Room Admin,08/12/2018 04:14,37,Out
__export__.temp_log_195146_7b25971b,Room Admin,08/12/2018 04:11,29,In
__export__.temp_log_195147_1be17b84,Room Admin,08/12/2018 04:11,29,In
__export__.temp_log_195139_3ae05a53,Room Admin,08/12/2018 04:09,29,In
__export__.temp_log_195138_4c528c59,Room Admin,08/12/2018 04:09,29,In
__export__.temp_log_195132_88aa5b76,Room Admin,08/12/2018 04:08,36,Out
__export__.temp_log_195133_2e87c162,Room Admin,08/12/2018 04:08,36,Out
__export__.temp_log_195131_f2bc3d99,Room Admin,08/12/2018 04:07,29,In
__export__.temp_log_195130_e2128775,Room Admin,08/12/2018 04:07,29,In
__export__.temp_log_195119_950652c4,Room Admin,08/12/2018 04:04,36,Out
__export__.temp_log_195118_818af56d,Room Admin,08/12/2018 04:04,36,Out
__export__.temp_log_195117_0310e550,Room Admin,08/12/2018 04:03,29,In
__export__.temp_log_195116_d31657b9,Room Admin,08/12/2018 04:03,29,In
__export__.temp_log_195114_0302145d,Room Admin,08/12/2018 04:03,30,In
__export__.temp_log_195115_7de36953,Room Admin,08/12/2018 04:03,30,In
__export__.temp_log_195109_8368b845,Room Admin,08/12/2018 04:02,36,Out
__export__.temp_log_195108_1520c580,Room Admin,08/12/2018 04:02,36,Out
__export__.temp_log_195107_e9bd831a,Room Admin,08/12/2018 04:01,29,In
__export__.temp_log_195106_1161a490,Room Admin,08/12/2018 04:01,29,In
__export__.temp_log_195099_94fff493,Room Admin,08/12/2018 04:00,36,Out
__export__.temp_log_195098_6d37924f,Room Admin,08/12/2018 04:00,36,Out
__export__.temp_log_195097_7fb4f591,Room Admin,08/12/2018 03:59,29,In
__export__.temp_log_195096_206056de,Room Admin,08/12/2018 03:59,29,In
__export__.temp_log_195091_b1536e7c,Room Admin,08/12/2018 03:59,30,In
__export__.temp_log_195090_a0dcc099,Room Admin,08/12/2018 03:59,30,In
__export__.temp_log_195088_79fc3ddd,Room Admin,08/12/2018 03:58,36,Out
__export__.temp_log_195089_c24769a4,Room Admin,08/12/2018 03:58,36,Out
__export__.temp_log_195087_2785ae71,Room Admin,08/12/2018 03:57,29,In
__export__.temp_log_195086_09d4d68c,Room Admin,08/12/2018 03:57,29,In
__export__.temp_log_195083_ea67bfee,Room Admin,08/12/2018 03:55,29,In
__export__.temp_log_195082_07be8615,Room Admin,08/12/2018 03:55,29,In
__export__.temp_log_195076_e7d5b616,Room Admin,08/12/2018 03:54,36,Out
__export__.temp_log_195077_fe2b50d1,Room Admin,08/12/2018 03:54,36,Out
__export__.temp_log_195075_9de50453,Room Admin,08/12/2018 03:53,29,In
__export__.temp_log_195074_8841b10a,Room Admin,08/12/2018 03:53,29,In
__export__.temp_log_195071_7362ce83,Room Admin,08/12/2018 03:53,30,In
__export__.temp_log_195069_1cc7bf5d,Room Admin,08/12/2018 03:53,30,In
__export__.temp_log_195066_732e758f,Room Admin,08/12/2018 03:51,29,In
__export__.temp_log_195067_02305247,Room Admin,08/12/2018 03:51,29,In
__export__.temp_log_195063_41d106fd,Room Admin,08/12/2018 03:50,35,Out
